PdfType: central
Format: lhagrid1
---
0.0001  0.00015  0.0017054071437846824  0.0023663717927158772  0.0032835065114916336  0.0045560951344142606  0.006321900931575537  0.008772080083835605  0.012171875173318797  0.01688932885004782  0.023435126054392588  0.03251787788972533  0.045120831865672416  0.06260831273044294  0.08687341657668107  0.12054294675211528  0.16726177678136434  0.23208742382571634  0.32203754697922743  0.4468496394801502  0.620035154833731  0.8603421805977902  1.0  
0.1e+001 0.1e+007
-14 14
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
3.28019576624733e+01 4.00562367609050e+01
3.28019576624733e+01 4.00562367609050e+01
4.64406112270451e+01 4.58157971257755e+01
4.64406112270451e+01 4.58157971257755e+01
5.84745284220384e+01 6.32011711249310e+01
5.84745284220384e+01 6.32011711249310e+01
6.90477052261207e+01 7.96621541315891e+01
6.90477052261207e+01 7.96621541315891e+01
8.81717176061662e+01 9.02880971087235e+01
8.81717176061662e+01 9.02880971087235e+01
9.63626958117094e+01 1.12145472420703e+02
9.63626958117094e+01 1.12145472420703e+02
1.00788406743672e+02 1.37619363422557e+02
1.00788406743672e+02 1.37619363422557e+02
1.09339972934540e+02 1.36458684383745e+02
1.09339972934540e+02 1.36458684383745e+02
1.15550632659244e+02 1.38625723088222e+02
1.15550632659244e+02 1.38625723088222e+02
1.07826317273923e+02 1.52147127209559e+02
1.07826317273923e+02 1.52147127209559e+02
1.01021217244768e+02 1.32367369987276e+02
1.01021217244768e+02 1.32367369987276e+02
8.15349311785903e+01 1.22954765252384e+02
8.15349311785903e+01 1.22954765252384e+02
6.19446583534331e+01 9.98306081059101e+01
6.19446583534331e+01 9.98306081059101e+01
4.05622053413270e+01 7.20972156141992e+01
4.05622053413270e+01 7.20972156141992e+01
2.69527189645066e+01 4.45527715770299e+01
2.69527189645066e+01 4.45527715770299e+01
1.06143056735586e+01 2.11673238459971e+01
1.06143056735586e+01 2.11673238459971e+01
5.71319787244292e+00 1.20204353882174e+01
5.71319787244292e+00 1.20204353882174e+01
1.08806238096698e+00 4.26050039932611e+00
1.08806238096698e+00 4.26050039932611e+00
3.23550414756517e-01 8.13441543695468e-01
3.23550414756517e-01 8.13441543695468e-01
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00
---
